timestamp,workbook_filename,sheet_name_raw,sheet_name_sanitized,sample_name,sample_index,initial_length_mm,thickness_mm,width_mm,area_mm2,modulus_pa,modulus_gpa,r_value,n_points,strain_fit_min,strain_fit_max,notes,tags
2025-12-03T22:17:18.318990,temp_uploaded.xlsx,ASTM D882 results TR3-2 - Contr,ASTM_D882_results_TR3-2_-_Contr,ASTM_D882_results_TR3-2_-_Contr-1,1,100.0,0.89,25.4,22.606,1500665859.9574144,1.5006658599574143,0.9991631831322711,108,0.0,0.018,TR3-2,Wave-3
2025-12-03T22:17:18.318990,temp_uploaded.xlsx,ASTM D882 results TR3-2 - Contr,ASTM_D882_results_TR3-2_-_Contr,ASTM_D882_results_TR3-2_-_Contr-2,2,100.0,0.89,25.4,22.606,1498655179.7943728,1.4986551797943728,0.9992384265574958,107,0.0,0.018,TR3-2,Wave-3
2025-12-03T22:17:18.318990,temp_uploaded.xlsx,ASTM D882 results TR3-2 - Contr,ASTM_D882_results_TR3-2_-_Contr,ASTM_D882_results_TR3-2_-_Contr-3,3,100.0,0.89,25.4,22.606,1506886508.7132638,1.5068865087132637,0.9993383798403294,106,0.0,0.018,TR3-2,Wave-3
2025-12-03T22:17:18.319989,temp_uploaded.xlsx,ASTM D882 results TR3-2 - Contr,ASTM_D882_results_TR3-2_-_Contr,ASTM_D882_results_TR3-2_-_Contr-4,4,100.0,0.89,25.4,22.606,1481285781.0785737,1.4812857810785736,0.9993144689840844,107,0.0,0.018,TR3-2,Wave-3
2025-12-03T22:17:18.319989,temp_uploaded.xlsx,ASTM D882 results TR3-2 - Contr,ASTM_D882_results_TR3-2_-_Contr,ASTM_D882_results_TR3-2_-_Contr-5,5,100.0,0.89,25.4,22.606,1502791622.7964094,1.502791622796409,0.9990200555466664,108,0.0,0.018,TR3-2,Wave-3
2025-12-03T22:21:41.775484,temp_uploaded.xlsx,ASTM D882 results TR3-4 - Contr,ASTM_D882_results_TR3-4_-_Contr,ASTM_D882_results_TR3-4_-_Contr-1,1,125.0,1.5,25.4,38.1,1561694281.0497887,1.5616942810497887,0.9992106018997806,290,0.0,0.01,TR3-4,Wave-3
2025-12-03T22:21:41.775484,temp_uploaded.xlsx,ASTM D882 results TR3-4 - Contr,ASTM_D882_results_TR3-4_-_Contr,ASTM_D882_results_TR3-4_-_Contr-2,2,125.0,1.5,25.4,38.1,1600656530.8494782,1.6006565308494782,0.9994902440298812,289,0.0,0.01,TR3-4,Wave-3
2025-12-03T22:21:41.775989,temp_uploaded.xlsx,ASTM D882 results TR3-4 - Contr,ASTM_D882_results_TR3-4_-_Contr,ASTM_D882_results_TR3-4_-_Contr-3,3,125.0,1.5,25.4,38.1,1630391331.7835057,1.6303913317835057,0.9983336505266156,294,0.0,0.01,TR3-4,Wave-3
2025-12-03T22:21:41.775989,temp_uploaded.xlsx,ASTM D882 results TR3-4 - Contr,ASTM_D882_results_TR3-4_-_Contr,ASTM_D882_results_TR3-4_-_Contr-4,4,125.0,1.5,25.4,38.1,1591744914.3359606,1.5917449143359603,0.999077606986574,291,0.0,0.01,TR3-4,Wave-3
2025-12-03T22:21:41.775989,temp_uploaded.xlsx,ASTM D882 results TR3-4 - Contr,ASTM_D882_results_TR3-4_-_Contr,ASTM_D882_results_TR3-4_-_Contr-5,5,125.0,1.5,25.4,38.1,1582651012.0690987,1.5826510120690986,0.9988145887410592,295,0.0,0.01,TR3-4,Wave-3
